City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Victor Harbor,-35.57,138.62,55.99,74,96,4.0,AU,10/23/20
Pisco,-13.7,-76.22,71.6,60,0,16.11,PE,10/23/20
Port Keats,-14.25,129.55,81.34,79,11,8.61,AU,10/23/20
Qinhuangdao,39.93,119.59,45.3,53,0,5.19,CN,10/23/20
Margate,51.38,1.39,54.0,83,46,1.99,GB,10/23/20
Grong,64.47,12.31,33.8,87,40,3.36,NO,10/23/20
Nouadhibou,20.93,-17.03,75.2,64,6,14.99,MR,10/23/20
Chui,-33.7,-53.46,71.26,79,80,4.7,UY,10/23/20
Chokurdakh,70.63,147.92,6.4,91,85,6.85,RU,10/23/20
Shirokiy,49.76,129.52,28.8,89,0,21.97,RU,10/23/20
Cayenne,4.93,-52.33,91.4,52,20,9.17,GF,10/23/20
Kalangala,-0.31,32.23,73.4,73,20,7.92,UG,10/23/20
Oriximiná,-1.77,-55.87,97.95,33,37,7.07,BR,10/23/20
Longyearbyen,78.22,15.64,17.6,78,20,3.36,SJ,10/23/20
Embonas,36.23,27.86,71.6,78,0,5.82,GR,10/23/20
Tasiilaq,65.61,-37.64,37.4,40,75,11.41,GL,10/23/20
Bathsheba,13.22,-59.52,87.8,66,40,24.16,BB,10/23/20
Pangnirtung,66.15,-65.71,26.6,92,90,2.24,CA,10/23/20
Sola,-13.88,167.55,77.0,94,75,4.7,VU,10/23/20
Faya,18.39,42.45,66.2,20,0,5.82,SA,10/23/20
Niwāri,28.88,77.53,82.99,49,0,3.87,IN,10/23/20
Assiniboia,49.63,-105.98,17.82,89,0,3.47,CA,10/23/20
Sirte,31.21,16.59,70.47,59,0,8.84,LY,10/23/20
Morondava,-20.28,44.28,77.14,84,32,9.04,MG,10/23/20
Busselton,-33.65,115.33,54.0,41,0,12.88,AU,10/23/20
Tiksi,71.69,128.87,19.78,97,100,8.93,RU,10/23/20
Dzaoudzi,-12.79,45.27,80.6,78,75,6.93,YT,10/23/20
Lüderitz,-26.65,15.16,60.89,79,0,4.41,NA,10/23/20
Hong Kong,22.29,114.16,75.0,33,100,10.0,HK,10/23/20
Ciudad del Maíz,22.4,-99.6,84.72,35,0,0.96,MX,10/23/20
Nizhniy Kuranakh,58.84,125.49,18.64,93,33,1.41,RU,10/23/20
Provideniya,64.38,-173.3,33.13,93,98,13.06,RU,10/23/20
Ushuaia,-54.8,-68.3,48.2,57,40,11.41,AR,10/23/20
North Bend,43.41,-124.22,64.99,54,1,3.36,US,10/23/20
Liaoyang,41.27,123.17,24.8,79,0,2.24,CN,10/23/20
Ucluelet,48.93,-125.55,46.99,93,90,9.17,CA,10/23/20
Leningradskiy,69.38,178.42,22.86,90,0,4.79,RU,10/23/20
Albany,42.6,-73.97,75.0,66,92,4.0,US,10/23/20
Moosomin,50.13,-101.67,22.35,91,97,11.43,CA,10/23/20
Saint-Philippe,-21.36,55.77,73.4,73,0,8.05,RE,10/23/20
Haines Junction,60.75,-137.51,20.41,83,81,2.01,CA,10/23/20
Piracuruca,-3.93,-41.71,100.92,23,97,6.04,BR,10/23/20
Punta Arenas,-53.15,-70.92,46.4,70,75,6.93,CL,10/23/20
Tyumentsevo,53.32,81.5,29.8,86,0,7.18,RU,10/23/20
Saint-Joseph,-21.37,55.62,73.4,73,0,8.05,RE,10/23/20
Reshetylivka,49.56,34.08,57.72,51,100,6.04,UA,10/23/20
Salalah,17.02,54.09,78.8,39,0,3.36,OM,10/23/20
Kwang Binh,17.48,106.6,70.0,71,92,8.52,VN,10/23/20
Adrar,20.5,-10.07,90.64,13,16,1.59,MR,10/23/20
Qaanaaq,77.48,-69.36,19.38,93,96,8.21,GL,10/23/20
Khovd,48.01,91.64,36.93,69,100,2.06,MN,10/23/20
Pedernales,18.04,-71.74,87.8,74,20,13.87,DO,10/23/20
Castro,-24.79,-50.01,72.27,74,100,6.11,BR,10/23/20
Sitka,57.05,-135.33,39.2,38,1,3.36,US,10/23/20
Touros,-5.2,-35.46,77.0,94,40,6.93,BR,10/23/20
Inhambane,-23.86,35.38,73.4,73,20,3.36,MZ,10/23/20
Belaya Gora,68.53,146.42,5.49,88,23,3.36,RU,10/23/20
Dikson,73.51,80.55,23.67,94,100,13.24,RU,10/23/20
Serenje,-13.23,30.24,67.8,40,24,3.76,ZM,10/23/20
Upernavik,72.79,-56.15,21.9,94,100,8.03,GL,10/23/20
Kapaa,22.08,-159.32,80.01,88,75,9.06,US,10/23/20
Bahía de Caráquez,-0.6,-80.42,78.8,74,20,14.99,EC,10/23/20
Jamestown,42.1,-79.24,75.99,47,40,12.75,US,10/23/20
Ponta do Sol,32.67,-17.1,68.0,60,40,5.82,PT,10/23/20
Saint Paul Harbor,57.79,-152.41,44.6,93,90,25.28,US,10/23/20
Olen,51.13,4.83,57.0,86,88,1.99,BE,10/23/20
Rikitea,-23.12,-134.97,74.12,77,41,6.51,PF,10/23/20
Dingle,11.0,122.67,76.15,93,100,5.75,PH,10/23/20
Beringovskiy,63.05,179.32,33.44,92,100,21.88,RU,10/23/20
Kokstad,-30.55,29.42,66.99,61,100,4.85,ZA,10/23/20
Saskylakh,71.92,114.08,19.42,97,100,5.79,RU,10/23/20
San Juan,-31.54,-68.54,89.78,21,0,7.74,AR,10/23/20
Lodwar,3.12,35.6,92.61,30,100,2.73,KE,10/23/20
Naze,28.37,129.48,69.8,60,40,17.22,JP,10/23/20
Sühbaatar,50.23,106.21,32.97,90,7,1.74,MN,10/23/20
Mareeba,-17.0,145.43,75.2,83,90,4.7,AU,10/23/20
Namie,37.48,141.0,57.99,66,40,1.99,JP,10/23/20
Acaraú,-2.89,-40.12,84.63,64,14,19.82,BR,10/23/20
Geraldton,-28.77,114.6,55.4,71,0,6.93,AU,10/23/20
Avarua,-21.21,-159.78,75.2,73,59,14.99,CK,10/23/20
Shangrao,28.45,117.97,51.03,71,10,3.58,CN,10/23/20
Pontianak,-0.03,109.33,77.11,90,100,2.93,ID,10/23/20
Constitución,-35.33,-72.42,59.56,60,0,15.17,CL,10/23/20
Barrow,71.29,-156.79,32.0,98,90,8.05,US,10/23/20
Nioro,13.35,-15.75,86.76,42,0,3.09,GM,10/23/20
Cape Town,-33.93,18.42,68.0,93,20,5.82,ZA,10/23/20
San Andrés,12.58,-81.7,87.8,70,40,4.7,CO,10/23/20
São Filipe,14.9,-24.5,80.46,76,15,14.27,CV,10/23/20
São Félix do Xingu,-6.64,-51.99,93.36,40,100,4.72,BR,10/23/20
Hermanus,-34.42,19.23,68.0,85,58,8.03,ZA,10/23/20
Windhoek,-22.56,17.08,87.8,22,97,5.82,NA,10/23/20
Bluff,-46.6,168.33,51.89,72,88,13.38,NZ,10/23/20
Envira,-7.3,-70.22,86.38,61,99,4.85,BR,10/23/20
Hithadhoo,-0.6,73.08,82.8,78,16,12.86,MV,10/23/20
Husavik,66.04,-17.34,42.8,70,75,5.82,IS,10/23/20
Mossamedes,-15.2,12.15,70.34,80,100,9.13,AO,10/23/20
Zhangye,38.93,100.45,43.21,53,0,1.97,CN,10/23/20
Itaituba,-4.28,-55.98,98.19,34,92,3.09,BR,10/23/20
Mariehamn,60.1,19.93,28.4,100,0,1.12,AX,10/23/20
Coquimbo,-29.95,-71.34,59.0,72,75,12.75,CL,10/23/20
Bredasdorp,-34.53,20.04,64.4,88,20,3.36,ZA,10/23/20
Boende,-0.22,20.87,74.44,87,100,1.63,CD,10/23/20
Alice Springs,-23.7,133.88,60.8,59,0,4.7,AU,10/23/20
Micheweni,-4.97,39.83,79.36,81,100,10.69,TZ,10/23/20
New Norfolk,-42.78,147.06,52.0,70,100,1.01,AU,10/23/20
Kiryat Gat,31.61,34.76,77.0,82,0,4.56,IL,10/23/20
Nyimba,-14.56,30.81,79.83,27,0,9.19,ZM,10/23/20
Labuhan,-6.88,112.21,79.32,83,0,6.76,ID,10/23/20
Ayagoz,47.97,80.44,34.81,88,100,13.87,KZ,10/23/20
Çubuk,40.24,33.03,64.0,37,0,3.67,TR,10/23/20
Raul Soares,-20.1,-42.45,76.71,64,93,2.42,BR,10/23/20
Songjianghe,42.19,127.48,25.29,86,0,5.37,CN,10/23/20
Kruisfontein,-34.0,24.73,66.0,86,0,1.01,ZA,10/23/20
Coolum Beach,-26.53,153.1,70.0,94,99,1.01,AU,10/23/20
Zhangaözen,43.3,52.8,49.21,48,0,7.45,KZ,10/23/20
Kendari,-3.94,122.5,77.2,87,15,0.78,ID,10/23/20
Poso,-1.4,120.75,76.78,81,3,5.03,ID,10/23/20
Camaná,-16.62,-72.71,67.71,67,64,6.62,PE,10/23/20
Hilo,19.73,-155.09,82.4,61,1,6.98,US,10/23/20
Vardø,70.37,31.11,39.2,80,75,32.21,NO,10/23/20
University Place,47.24,-122.55,46.0,70,90,11.41,US,10/23/20
Lata,40.16,-8.33,59.0,80,18,1.72,PT,10/23/20
Ngama,11.78,17.17,87.58,33,84,3.42,TD,10/23/20
Ýpsonas,34.69,32.96,73.4,64,0,3.36,CY,10/23/20
Atuona,-9.8,-139.03,77.81,76,30,20.29,PF,10/23/20
Saint-François,46.42,3.91,55.4,87,90,3.36,FR,10/23/20
Coyhaique,-45.58,-72.07,60.8,44,90,9.17,CL,10/23/20
Bol,13.46,14.71,87.71,36,100,15.37,TD,10/23/20
Coxim,-18.51,-54.76,94.64,39,86,7.76,BR,10/23/20
São José da Coroa Grande,-8.9,-35.15,80.26,74,1,10.42,BR,10/23/20
Karasjok,69.47,25.51,35.6,93,75,47.2,NO,10/23/20
Bela,25.93,81.98,75.54,42,0,5.55,IN,10/23/20
Port Alfred,-33.59,26.89,71.73,75,19,13.69,ZA,10/23/20
Ribeira Grande,38.52,-28.7,68.0,72,75,14.99,PT,10/23/20
Mataura,-46.19,168.86,48.25,79,3,4.9,NZ,10/23/20
Iqaluit,63.75,-68.51,30.2,80,90,2.24,CA,10/23/20
Ponta Delgada,37.73,-25.67,66.2,72,40,13.87,PT,10/23/20
East London,-33.02,27.91,69.8,88,100,5.82,ZA,10/23/20
Lakes Entrance,-37.88,147.98,60.01,97,100,4.79,AU,10/23/20
Souillac,-20.52,57.52,75.2,69,75,11.41,MU,10/23/20
Gilgit,35.92,74.31,59.23,32,30,4.03,PK,10/23/20
Yellowknife,62.46,-114.35,26.01,73,20,8.05,CA,10/23/20
Esperance,-33.87,121.9,53.6,100,90,4.7,AU,10/23/20
Poum,-20.23,164.02,76.23,78,0,12.06,NC,10/23/20
Hambantota,6.12,81.12,78.8,88,0,4.7,LK,10/23/20
Codrington,-38.27,141.97,49.03,85,100,11.5,AU,10/23/20
Mpongwe,-13.51,28.16,74.44,36,41,5.75,ZM,10/23/20
Shumikha,55.23,63.3,24.69,89,0,5.01,RU,10/23/20
Riyadh,24.69,46.72,69.8,26,0,2.24,SA,10/23/20
Hobart,-42.88,147.33,52.0,93,90,3.4,AU,10/23/20
Butaritari,3.07,172.79,81.75,75,100,13.56,KI,10/23/20
Ugoofaaru,5.67,73.0,81.63,79,100,14.99,MV,10/23/20
Havelock,34.88,-76.9,81.0,61,90,3.36,US,10/23/20
Hofn,64.25,-15.21,42.8,93,90,4.7,IS,10/23/20
Lamu,-2.27,40.9,80.6,83,20,13.87,KE,10/23/20
Bethel,41.37,-73.41,64.4,88,90,6.93,US,10/23/20
Port Hardy,50.7,-127.42,42.8,93,90,20.8,CA,10/23/20
Samarai,-10.62,150.67,80.15,85,91,7.81,PG,10/23/20
George Town,5.41,100.34,80.6,94,20,4.7,MY,10/23/20
Jacareacanga,-6.22,-57.75,86.29,65,100,4.38,BR,10/23/20
Sayyan,15.17,44.32,55.26,35,8,4.97,YE,10/23/20
Sekoma,-24.4,23.88,83.66,21,0,5.21,BW,10/23/20
Mount Darwin,-16.77,31.58,76.44,29,0,5.64,ZW,10/23/20
Belmonte,-15.86,-38.88,77.0,78,75,4.7,BR,10/23/20
Le Moule,16.33,-61.35,87.8,66,75,16.11,GP,10/23/20
Manresa,41.73,1.83,61.0,61,0,1.01,ES,10/23/20
Puerto Ayora,-0.74,-90.35,78.8,74,40,21.92,EC,10/23/20
Mar del Plata,-38.0,-57.56,64.0,82,40,9.17,AR,10/23/20
Bowen,-20.02,148.23,71.6,88,40,4.7,AU,10/23/20
Beihai,21.48,109.1,68.76,65,100,15.3,CN,10/23/20
Chibombo,-14.66,28.07,75.27,29,76,8.61,ZM,10/23/20
Mahébourg,-20.41,57.7,75.2,69,75,11.41,MU,10/23/20
Oregon City,45.36,-122.61,48.0,84,100,4.0,US,10/23/20
Cabo San Lucas,22.89,-109.91,91.99,66,5,3.36,MX,10/23/20
Gizo Government Station,-8.1,156.84,81.73,74,28,4.32,SB,10/23/20
Iquitos,-3.75,-73.25,89.6,62,75,3.36,PE,10/23/20
São Miguel do Araguaia,-13.28,-50.16,97.29,29,7,5.06,BR,10/23/20
Sovetskiy,61.36,63.58,22.68,95,0,4.0,RU,10/23/20
Tiquisio,8.56,-74.27,88.41,70,100,1.57,CO,10/23/20
Boussé,12.66,-1.89,89.6,31,14,4.7,BF,10/23/20
Vyazemskiy,47.54,134.75,32.13,99,100,15.21,RU,10/23/20
Ostrovnoy,68.05,39.51,29.52,97,100,8.39,RU,10/23/20
Hualmay,-11.1,-77.61,68.81,64,68,9.31,PE,10/23/20
Airai,-8.93,125.41,61.99,100,56,0.31,TL,10/23/20
Arraial do Cabo,-22.97,-42.03,77.0,65,0,21.92,BR,10/23/20
Davila,18.47,120.58,78.8,94,75,4.7,PH,10/23/20
Soe,-9.86,124.28,67.35,100,9,1.21,ID,10/23/20
Cidreira,-30.18,-50.21,70.32,83,100,13.69,BR,10/23/20
Marystown,47.17,-55.15,48.99,100,0,6.15,CA,10/23/20
Saldanha,-33.01,17.94,60.8,82,32,3.36,ZA,10/23/20
Eureka,40.8,-124.16,57.2,71,1,5.82,US,10/23/20
Ca Mau,9.18,105.15,74.75,92,100,1.05,VN,10/23/20
Verkhnyaya Inta,65.98,60.31,16.03,95,4,7.92,RU,10/23/20
Bezerros,-8.23,-35.8,80.42,58,15,16.24,BR,10/23/20
Lebu,-37.62,-73.65,55.78,70,100,7.9,CL,10/23/20
Lagoa,39.05,-27.98,65.86,76,0,20.02,PT,10/23/20
Uarini,-2.99,-65.11,89.6,66,20,6.93,BR,10/23/20
Cairns,-16.92,145.77,75.2,83,90,4.7,AU,10/23/20
Vila Velha,-20.33,-40.29,71.6,88,90,6.93,BR,10/23/20
Luba,3.46,8.55,77.81,82,100,3.91,GQ,10/23/20
Hamilton,39.18,-84.53,78.01,69,40,13.87,US,10/23/20
Puerto Escondido,15.85,-97.07,87.8,70,40,4.7,MX,10/23/20
Kumul,42.8,93.45,45.36,47,0,1.41,CN,10/23/20
Havøysund,71.0,24.66,39.2,80,75,32.21,NO,10/23/20
Nanortalik,60.14,-45.24,34.47,85,100,0.72,GL,10/23/20
Bloomfield,40.81,-74.19,71.01,73,90,3.36,US,10/23/20
Bada,51.39,109.87,30.34,92,0,1.61,RU,10/23/20
Bengkulu,-3.8,102.27,76.46,88,100,3.56,ID,10/23/20
Katsuura,35.13,140.3,64.4,55,75,14.99,JP,10/23/20
Nikolskoye,59.7,30.79,44.6,87,90,17.9,RU,10/23/20
Mbanza-Ngungu,-5.25,14.87,73.94,89,100,1.88,CD,10/23/20
Tuktoyaktuk,69.45,-133.04,23.0,92,75,9.17,CA,10/23/20
Oyama,36.3,139.8,66.0,87,75,3.36,JP,10/23/20
Lompoc,34.64,-120.46,68.0,68,90,5.82,US,10/23/20
Tynda,55.17,124.72,13.21,94,0,2.35,RU,10/23/20
Saint George,37.1,-113.58,69.01,18,1,4.7,US,10/23/20
Kavieng,-2.57,150.8,82.09,68,17,5.3,PG,10/23/20
Puerto Limón,10.0,-83.03,86.0,74,0,8.05,CR,10/23/20
Ust'-Ordynskiy,52.8,104.75,30.2,92,0,6.71,RU,10/23/20
Ewo,-0.87,14.82,75.49,86,96,0.13,CG,10/23/20
Camocim,-2.9,-40.84,86.85,59,66,21.12,BR,10/23/20
Chanika,-5.42,38.02,70.79,83,49,5.99,TZ,10/23/20
Tazovsky,67.47,78.7,19.6,97,100,6.4,RU,10/23/20
Riverton,40.52,-111.94,48.99,45,1,1.68,US,10/23/20
Faanui,-16.48,-151.75,78.48,77,9,11.12,PF,10/23/20
Tateyama,34.98,139.87,62.01,60,90,3.0,JP,10/23/20
Vaini,-21.2,-175.2,73.4,83,75,9.17,TO,10/23/20
Northam,51.03,-4.22,52.0,83,83,4.0,GB,10/23/20
Kirakira,-10.45,161.92,77.97,81,9,6.76,SB,10/23/20
Ola,59.58,151.28,35.55,85,97,10.09,RU,10/23/20
Takoradze,4.88,-1.76,78.03,88,70,7.56,GH,10/23/20
Charters Towers,-20.1,146.27,70.65,83,100,9.35,AU,10/23/20
Rio Grande,-32.03,-52.1,75.99,78,100,8.59,BR,10/23/20
Ocean City,39.28,-74.57,68.0,88,90,6.93,US,10/23/20
Yulara,-25.24,130.99,60.8,72,0,10.29,AU,10/23/20
Kaitangata,-46.28,169.85,51.58,82,45,4.23,NZ,10/23/20
Kamenka,51.32,42.77,57.99,68,100,10.49,RU,10/23/20
Venkatagiri,13.97,79.58,80.22,73,21,1.39,IN,10/23/20
Cherskiy,68.75,161.3,17.4,94,57,3.98,RU,10/23/20
Hasaki,35.73,140.83,59.0,87,75,4.7,JP,10/23/20
Thompson,55.74,-97.86,23.0,67,75,12.75,CA,10/23/20
Okhotsk,59.38,143.3,36.84,91,100,11.81,RU,10/23/20
San Cristobal,7.77,-72.22,93.2,46,40,11.41,VE,10/23/20
Brae,60.4,-1.35,48.2,81,94,18.34,GB,10/23/20
Trairi,-3.28,-39.27,83.77,66,0,14.7,BR,10/23/20
Norman Wells,65.28,-126.83,28.4,92,75,9.17,CA,10/23/20
Basco,20.45,121.97,78.6,85,100,32.7,PH,10/23/20
Laas,46.62,10.7,53.01,100,90,3.36,IT,10/23/20
Laureles,26.11,-97.49,90.0,70,1,12.75,US,10/23/20
Bara,10.37,10.73,80.6,34,1,4.0,NG,10/23/20
Santo Antônio do Içá,-3.1,-67.94,83.95,82,100,3.78,BR,10/23/20
Morār,26.23,78.23,76.1,32,0,2.28,IN,10/23/20
Sarankhola,22.31,89.79,73.65,97,100,6.2,BD,10/23/20
Kaeo,-35.1,173.78,61.0,97,85,4.52,NZ,10/23/20
São Gonçalo do Sapucaí,-21.89,-45.6,77.07,57,95,4.99,BR,10/23/20
Lázně Bělohrad,50.43,15.58,55.0,92,100,11.99,CZ,10/23/20
Juegang,32.32,121.19,54.0,52,0,7.43,CN,10/23/20
Warrington,53.39,-2.58,50.0,76,0,10.29,GB,10/23/20
Molina,-35.12,-71.28,78.8,31,0,6.93,CL,10/23/20
Carnarvon,-24.87,113.63,68.0,64,0,12.75,AU,10/23/20
Yarkovo,57.4,67.08,24.8,91,0,5.93,RU,10/23/20
Bereda,43.27,-7.54,60.01,82,20,8.05,ES,10/23/20
Kinablangan,7.69,126.55,78.49,76,95,4.59,PH,10/23/20
Kahului,20.89,-156.47,80.6,54,1,1.34,US,10/23/20
Chinsali,-10.54,32.08,73.81,39,18,9.69,ZM,10/23/20
Borovskoy,53.8,64.15,24.89,84,0,4.65,KZ,10/23/20
Fortuna,40.6,-124.16,57.2,58,1,8.05,US,10/23/20
Río Gallegos,-51.62,-69.22,53.6,87,40,9.17,AR,10/23/20
Werda,-25.27,23.28,85.35,18,0,5.59,BW,10/23/20
Māngrol,21.12,70.12,82.04,60,0,5.66,IN,10/23/20
Zhigansk,66.77,123.37,26.1,98,100,33.2,RU,10/23/20
San Quintín,30.48,-115.95,70.27,59,10,9.64,MX,10/23/20
Zhoucheng,35.91,116.31,45.99,48,0,2.95,CN,10/23/20
Kununurra,-15.77,128.73,82.4,83,95,6.93,AU,10/23/20
Shingū,33.73,135.98,52.43,82,0,6.55,JP,10/23/20
Tabuk,17.42,121.44,74.14,91,98,0.45,PH,10/23/20
Torbay,47.67,-52.73,44.6,75,75,9.17,CA,10/23/20
Jämsä,61.86,25.19,28.4,100,0,5.82,FI,10/23/20
Candolim,15.52,73.76,78.8,94,75,11.41,IN,10/23/20
Krasnoshchekovo,51.67,82.73,32.02,98,100,7.99,RU,10/23/20
Bhitarwār,25.8,78.12,75.42,36,0,1.86,IN,10/23/20
Tebingtinggi,3.33,99.16,77.0,94,40,2.24,ID,10/23/20
Hay River,60.82,-115.8,23.0,85,75,12.75,CA,10/23/20
Nam Som,17.77,102.19,68.36,85,99,0.38,TH,10/23/20
Sauda,59.65,6.35,46.0,79,100,1.99,NO,10/23/20
Sept-Îles,50.2,-66.38,37.99,59,90,9.17,CA,10/23/20
Severo-Kuril'sk,50.68,156.12,45.1,81,100,26.13,RU,10/23/20
Buin,-33.73,-70.75,82.99,30,0,8.05,CL,10/23/20
Hibbing,47.43,-92.94,32.0,68,90,9.17,US,10/23/20
Aklavik,68.22,-135.01,30.2,80,75,3.36,CA,10/23/20
Freital,51.0,13.65,57.2,87,75,8.05,DE,10/23/20
Necochea,-38.55,-58.74,66.0,72,48,5.99,AR,10/23/20
Talakan,50.32,130.37,29.97,87,16,18.99,RU,10/23/20
Aichach,48.46,11.13,57.2,87,100,8.05,DE,10/23/20
Abengourou,6.73,-3.5,73.33,96,84,1.77,CI,10/23/20
Te Anau,-45.42,167.72,49.14,82,100,5.48,NZ,10/23/20
Bariloche,-41.15,-71.31,66.2,20,0,20.8,AR,10/23/20
Tieli,46.95,128.05,27.14,91,14,9.55,CN,10/23/20
Omsukchan,62.53,155.8,21.43,88,34,4.94,RU,10/23/20
